image_id,method,task,mIoU,pixel_accuracy,inference_time_sec
image_056,SegFormer-Semantic,semantic,0.047384637,0.189499748,0.446683645
image_056,SAM-Class-Agnostic,class-agnostic-binary,0.194076558,0.325380267,22.6739645
image_057,Watershed-Binary,binary,0.581827014,0.765992997,0.021791458
image_057,Watershed-Semantic-Oracle,semantic-oracle,0.76308956,0.896993664,0.026134968
image_057,U-Net-Semantic,semantic,0.95245754,0.984111431,0.452515125
image_057,SegFormer-Semantic,semantic,0.090212752,0.427406416,0.487366915
image_057,SAM-Class-Agnostic,class-agnostic-binary,0.248967354,0.39882651,23.39525008
image_058,Watershed-Binary,binary,0.648494717,0.825482886,0.014304161
image_058,Watershed-Semantic-Oracle,semantic-oracle,0.505332613,0.822071683,0.029447079
image_058,U-Net-Semantic,semantic,0.192878527,0.853426653,0.437725782
image_058,SegFormer-Semantic,semantic,0.025231925,0.201188704,0.478022814
image_058,SAM-Class-Agnostic,class-agnostic-binary,0.09694422,0.189839433,22.90173292
image_059,Watershed-Binary,binary,0.323338112,0.500940816,0.028361559
image_059,Watershed-Semantic-Oracle,semantic-oracle,0.466067909,0.672030897,0.033110619
image_059,U-Net-Semantic,semantic,0.4515277,0.956963617,0.423942089
image_059,SegFormer-Semantic,semantic,0.072769782,0.532624164,0.469651699
image_059,SAM-Class-Agnostic,class-agnostic-binary,0.258959639,0.414741552,22.96067238
image_060,Watershed-Binary,binary,0.930832979,0.974174754,0.014924526
image_060,Watershed-Semantic-Oracle,semantic-oracle,0.988403103,0.995968938,0.022659302
image_060,U-Net-Semantic,semantic,0.158864536,0.749156522,0.425318956
image_060,SegFormer-Semantic,semantic,0.059181422,0.419402794,0.48301816
image_060,SAM-Class-Agnostic,class-agnostic-binary,0.364511573,0.561347481,22.13543701
image_061,Watershed-Binary,binary,0.39419548,0.612094477,0.020987511
image_061,Watershed-Semantic-Oracle,semantic-oracle,0.402896908,0.623051792,0.028815985
image_061,U-Net-Semantic,semantic,0.122072194,0.496914433,0.390957355
image_061,SegFormer-Semantic,semantic,0.007191698,0.03575628,0.431990862
image_061,SAM-Class-Agnostic,class-agnostic-binary,0.642254938,0.783931376,22.59223866
image_062,Watershed-Binary,binary,0.378283038,0.629094172,0.019792795
image_062,Watershed-Semantic-Oracle,semantic-oracle,0.381567498,0.633692871,0.024698257
image_062,U-Net-Semantic,semantic,0.280825655,0.842089896,0.35659337
image_062,SegFormer-Semantic,semantic,0.121426864,0.588744998,0.417140007
image_062,SAM-Class-Agnostic,class-agnostic-binary,0.128953531,0.235096096,23.69545913
image_063,Watershed-Binary,binary,0.271470127,0.542757983,0.018750668
image_063,Watershed-Semantic-Oracle,semantic-oracle,0.462283965,0.924567931,0.019780159
image_063,U-Net-Semantic,semantic,0.142094199,0.921222248,0.325122595
image_063,SegFormer-Semantic,semantic,0.091994101,0.366268334,0.385296583
image_063,SAM-Class-Agnostic,class-agnostic-binary,0.057187025,0.10900992,21.42397189
image_064,Watershed-Binary,binary,0.088538371,0.173501905,0.012545109
image_064,Watershed-Semantic-Oracle,semantic-oracle,0.172761362,0.498310824,0.016433239
image_064,U-Net-Semantic,semantic,0.309440311,0.736780104,0.359548569
image_064,SegFormer-Semantic,semantic,0.149435958,0.476219761,0.369776011
image_064,SAM-Class-Agnostic,class-agnostic-binary,0.334716251,0.532517631,21.20957327
image_065,Watershed-Binary,binary,0.474491276,0.834720552,0.012334585
image_065,Watershed-Semantic-Oracle,semantic-oracle,0.651087003,0.997125996,0.018929482
image_065,U-Net-Semantic,semantic,0.425022591,0.991753385,0.324549198
image_065,SegFormer-Semantic,semantic,0.043381643,0.476741558,0.422314167
image_065,SAM-Class-Agnostic,class-agnostic-binary,0.224521856,0.426067055,21.3046174
image_066,Watershed-Binary,binary,0.715120259,0.880222655,0.017404795
image_066,Watershed-Semantic-Oracle,semantic-oracle,0.715120259,0.880222655,0.020810843
image_066,U-Net-Semantic,semantic,0.03263112,0.257778338,0.329320192
image_066,SegFormer-Semantic,semantic,0.036930364,0.151233425,0.387772322
image_066,SAM-Class-Agnostic,class-agnostic-binary,0.322829088,0.539988812,22.34179664
image_067,Watershed-Binary,binary,0.154260855,0.300720251,0.030927181
image_067,Watershed-Semantic-Oracle,semantic-oracle,0.454183209,0.879971128,0.038508892
image_067,U-Net-Semantic,semantic,0.092499378,0.894546894,0.423578024
image_067,SegFormer-Semantic,semantic,0.038226783,0.294472385,0.450841665
image_067,SAM-Class-Agnostic,class-agnostic-binary,0.232515167,0.409343858,23.32149553
image_068,Watershed-Binary,binary,0.274830221,0.507877079,0.020782232
image_068,Watershed-Semantic-Oracle,semantic-oracle,0.346795642,0.630587208,0.031110764
image_068,U-Net-Semantic,semantic,0.235393187,0.926243697,0.475681782
image_068,SegFormer-Semantic,semantic,0.001524062,0.012133243,0.474658966
image_068,SAM-Class-Agnostic,class-agnostic-binary,0.176824028,0.32377814,22.84718919
image_069,Watershed-Binary,binary,0.115130606,0.228752454,0.019240618
image_069,Watershed-Semantic-Oracle,semantic-oracle,0.082790254,0.228752454,0.031963587
image_069,U-Net-Semantic,semantic,0.104207779,0.068404175,0.448679924
image_069,SegFormer-Semantic,semantic,0,0,0.481491089
image_069,SAM-Class-Agnostic,class-agnostic-binary,0.367311916,0.734623831,22.96565866
image_070,Watershed-Binary,binary,0.228060921,0.379553443,0.016691685
image_070,Watershed-Semantic-Oracle,semantic-oracle,0.161072979,0.378422919,0.026872396
image_070,U-Net-Semantic,semantic,0.342444514,0.525000896,0.447251558
image_070,SegFormer-Semantic,semantic,0.115097351,0.421398744,0.497886419
image_070,SAM-Class-Agnostic,class-agnostic-binary,0.253600007,0.490539825,23.0607233
image_071,Watershed-Binary,binary,0.577512169,0.806354477,0.018520117
image_071,Watershed-Semantic-Oracle,semantic-oracle,0.741292127,0.915556878,0.029989481
